LEVEL 0
LEVEL 228
LEVEL 417
	0    100  0.0
LEVEL 1058
	228  100  0.0
LEVEL 1759
	417  98.0 0.1
	1058 2.03 0.06
LEVEL 1851
	228  99.3  .2
	417  .67   .09
LEVEL 2069
	2740	2.3	.5
	2913	2.7	.5
LEVEL 5010
	228	97.7	.7
	3754	2.3	.7
LEVEL 5132
	0	.42	.03
	417	.6	.1
	1759	0.05	.01
	2069	16	1
	2070	5.1	.1
	2365	44.6	.09
	2545	.97	.07
	3074	19.1	.6
	3160	.27	.03
	3403	5.0	.2
	3596	4.1	.1
	3675	.12	.02
	3681	.45	.02
	3963	2.0	.6
	4192	0.09	.01
	4206	.52	.02
	4349	.32	.03
LEVEL 5142
	417	81	2
	1058	2.9	.4
	1759	12	1
	2072	.8	.3
	2365	.7	.1
	3596	1.4	.3
	3963	1.3	.2
LEVEL 5192
	1058	34	3
	1851	9	1
	2072	42	3
	3724	15	1
LEVEL 5245
	0	3.6	.2
	417	3.9	.2
	1759	7.4	.3
	2070	3.8	.2
	2365	9.1	.3
	2545	2.5	.2
	2661	2.9	.1
	2913	5.6	.2
	3074	5.2	.2
	3403	1.5	.5
	3508	.25	.04
	3596	2.1	.5
	3675	.19	.05
	3681	.43	.04
	3751	.08	.03
	3963	1.8	.1
	4192	46	1
	4206	.43	.05
LEVEL 5396
	0	33	1
	417	46	1
	2069	2.1	.1
	2365	3.6	.1
	2545	1.3	.1
	3074	1.9	.1
	3403	0.11	.05
	3596	3.0	0.1
	3681	.15	.04
	4192	6.1	.2
	4599	1.9	.1
	4622	.39	.5
LEVEL 5431
	228	18.4	.6
	1058	2.7	.2
	1759	0.8	.1
	1851	6.2	.2
	2070	33	5
	2072	12	5	
	2661	.5	.1
	3754	26	3
	4480	.27	.07
	4548	.77	.07
LEVEL 5457
	417	36	3
	1759	6.6	.3
	2070	9.9	.4
	2365	2.2	.2
	2545	1.2	.2
	2661	19.2	.9
	3074	5.6	.3
	3160	5.2	.3
	3596	0.4	.1
	3675	0.5	.2
	3681	0.5	.2
	3751	0.5	.2
	4192	6.3	.3
	4548	5.5	.3
	4705	0.4	.1
LEVEL 5462
	1058	18	3
	1759	23	3
	1851	8	3
	2661	8	2
	2740	17	3
	2913	20	4
	3160	6	2
LEVEL 5488
	0	10	2
	2069	14	2
	2365	9	2
	3074	64	3
	3403	3.4	1.2
LEVEL 5495
	2070	91	1
	3160	4.3	.5
	3596	2.8	.9
	4548	2.2	.2
LEVEL 5513
	0	11.2	.4
	417	9.5	.3
	1759	26.6	.8
	2069	4.3	.2
	2365	6.1	.2
	2545	.73	.09
	2661	0.73	.08
	2913	1.07	.08
	3596	0.4	.1
	3751	.29	.07
	4192	37	1
	4349	1.15	.07
	4705	.60	.06
	5132	0.26	.05
LEVEL 5545
	228	1.6	.4
	417	28	2
	1058	2.8	.5
	1759	11.4	.7
	1851	0.9	0.3
	2072	2.4	.4
	2365	13.3	.8
	2545	2.4	.5
	2661	2.2	.4
	2913	4.6	.8
	3074	2.0	.4
	3596	5	1
	3724	1.2	.4
	3751	20	1
	3963	1.8	.3
LEVEL 5560
	0	62	8
	2069	24	7
	4705	14	4
LEVEL 5585
	228	86.4	.7
	1759	1.4	.4
	2913	2.6	.3
	3160	1.0	.3
	3754	2.4	.3
	4548	6.2	.3
LEVEL 5598
	417	29	3
	2070	31	3
	3160	40	3
LEVEL 5671
	228	11	2
	417	5.8	.9
	1058	7.8	1.2
	3160	23	1
	3681	3.2	.8
	3754	49	2
LEVEL 5676
	0	40	1
	417	45	1
	2069	.38	.07
	2365	.79	.08
	2545	3.5	.1
	3675	.22	.08
	3681	1.36	.08
	4192	7.0	.2
	4599	1.60	.08
LEVEL 5692
	417	44	1
	1759	16.4	.5
	2070	.31	.08
	2661	.31	.09
	3074	.69	.09
	3160	16.5	.5
	3596	.29	.06
	3681	1.8	.1
	4192	18.3	.6
	4206	.42	.08
	4548	.21	.09
	4599	.24	.08
	5142	.23	.07
LEVEL 5726
	0	37	1
	417	33	1
	2069	6.0	.3
	2365	5.0	.2
	3403	8	1
	3596	2.4	.2
	3675	0.7	.1
	3963	6.1	.3
	4349	0.8	.1
LEVEL 5849
	417	8	2
	1759	7	2
	2070	48	3
	2740	3.2	.9
	2913	7	3
	4192	15	2
	4548	8.4	.9
	5142	3.1	.6
LEVEL 5883
	417	14	1
	1759	3.1	1.2
	1851	4.1	.6
	2070	11.6	.7
	3074	1.0	.4
	3160	9.3	.7
	4192	1.7	.7
	4548	43	2
	4599	2.3	.5
	4622	3.1	.7
	4705	2.2	.8
	5132	2.2	1.0
	5142	2.3	1.0
LEVEL 5916
	417	44	2
	1058	6	2
	1759	6.6	.5
	1851	4.7	1.1
	2070	21.4	.7
	2365	1.6	.4
	2913	1.9	.4
	3160	3.3	.4
	3751	2.3	1.2
	4192	6.4	.4
	5142	1.2	.2
LEVEL 5924
	0	18	2
	2069	11	2
	2545	48	3
	3403	3.5	.6
	3681	19	3
LEVEL 5950
	228	11	2
	2070	17	3
	3160	34	3
	3754	16	2
LEVEL 6028
	1058	44	2
	1759	1.2	.5
	2072	2.9	.6
	2740	3.5	.7
	2913	15.4	.5
	3724	22.1	.7
	3751	3.5	.9
	3978	0.9	.3
	4940	5.4	.6
	5007	1.1	.2
LEVEL 6400
	0	4	2
	1851	5	2
	2070	1	1
	3160	76	8
	3403	4	2
	5142	9	3
